Parameter,Function,Test Case,cyclomatic_complexity
"(int buffer[], int xResolution, int yResolution)","public class FlipSecondScanline {
public static int[] flipSecondScanline(int buffer[], int xResolution, int yResolution) {
		int bufferTwo[] = buffer.clone();

		for (int y=0; y<yResolution; y++) {
			if (y%2==1) {
				int ofs = y*xResolution;
				for (int x=0; x<xResolution; x++) {
					bufferTwo[ofs+x] = buffer[xResolution+ofs-x-1];
				}
			}
		}		
		return bufferTwo;
	}
}","@Test
	public void testFlip3x8() {
		int[] ret;
		int[] buffer = new int[] {
			0,0,0,
			1,2,3,			
			4,5,6,
			7,8,9,
			0,1,1,
			0,2,2,
			0,3,3,
			0,4,4,
		};
		
		ret = OutputHelper.flipSecondScanline(buffer, 3, 8);
		assertEquals(0, ret[0]);
		assertEquals(3, ret[3]);
		assertEquals(2, ret[4]);
		assertEquals(1, ret[5]);
		assertEquals(4, ret[6]);
	}",4
(long value),"public class LongToByteArray {
public static byte[] longToByteArray(long value) {
		return new byte[] {
				(byte)((value >>> 56) & 0xFF),
				(byte)((value >>> 48) & 0xFF),
				(byte)((value >>> 40) & 0xFF),
				(byte)((value >>> 32) & 0xFF),
				(byte)((value >>> 24) & 0xFF),
				(byte)((value >>> 16) & 0xFF),
				(byte)((value >>> 8) & 0xFF),
				(byte)(value & 0xFF)
		};
	}
}","@Test
	public final void testLongToByteArray() {
		// Setup the resources for the test.
		long l = 0x1234859623475620L;
		byte[] expectedResult = new byte[]{0x12, 0x34, (byte)0x85, (byte)0x96, 0x23, 0x47, 0x56, 0x20};
		
		// Call the method under test.
		byte[] result = ByteUtils.longToByteArray(l);
		
		// Verify the result.
		assertThat(""Returned byte array must be equal to 'expectedResult'"", result, is(equalTo(expectedResult)));
	}",1
(int value),"public class IntToByteArray {
public static byte[] intToByteArray(int value) {
		return new byte[] {
				(byte)((value >>> 24) & 0xFF),
				(byte)((value >>> 16) & 0xFF),
				(byte)((value >>> 8) & 0xFF),
				(byte)(value & 0xFF)
		};
	}
}","@Test
	public final void testIntToByteArray() {
		// Setup the resources for the test.
		int i = 0x98563214;
		byte[] expectedResult = new byte[]{(byte)0x98, 0x56, 0x32, 0x14};
		
		// Call the method under test.
		byte[] result = ByteUtils.intToByteArray(i);
		
		// Verify the result.
		assertThat(""Returned byte array must be equal to 'expectedResult'"", result, is(equalTo(expectedResult)));
	}",1
(short value),"public class ShortToByteArray {
public static byte[] shortToByteArray(short value) {
		byte[] b = new byte[2];
		b[0] = (byte)((value >> 8) & 0xFF);
		b[1] = (byte)(value & 0xFF);
		return b;
	}
}","@Test
	public final void testShortToByteArray() {
		// Setup the resources for the test.
		short s = 0x7FFF;
		byte[] expectedResult = new byte[]{0x7F, (byte)0xFF};
		
		// Call the method under test.
		byte[] result = ByteUtils.shortToByteArray(s);
		
		// Verify the result.
		assertThat(""Returned byte array must be equal to 'expectedResult'"", result, is(equalTo(expectedResult)));
	}",1
(byte b),"public class ByteToInt {
public static int byteToInt(byte b) {
		return (int) b & 0xFF;
	}
}","@Test
	public final void testByteToInt() {
		// Setup the resources for the test.
		byte b = (byte)0xF8;
		int expectedResult = 0xF8;
		
		// Call the method under test.
		int result = ByteUtils.byteToInt(b);
		
		// Verify the result.
		assertThat(""Returned int must be equal to 'expectedResult'"", result, is(equalTo(expectedResult)));
	}",1
"(int containerInteger, int bitPosition)","public class IsBitEnabled {
public static boolean isBitEnabled(int containerInteger, int bitPosition) {
		if (bitPosition < 0 || bitPosition > 31)
			throw new IllegalArgumentException(""Bit position must be between 0 and 31."");
		
		return (((containerInteger & 0xFFFFFFFF) >> bitPosition) & 0x01) == 0x01;
	}
}","@Test
	public final void testIsBitEnabledTrue() {
		// Setup the resources for the test.
		int n = 0xFFFF;
		boolean expectedResult = true;
		
		// Call the method under test.
		boolean result = ByteUtils.isBitEnabled(n, 5);
		
		// Verify the result.
		assertThat(""Bit must be enabled"", result, is(equalTo(expectedResult)));
	}",3
"(int containerInteger, int bitPosition)","public class IsBitEnabled {
public static boolean isBitEnabled(int containerInteger, int bitPosition) {
		if (bitPosition < 0 || bitPosition > 31)
			throw new IllegalArgumentException(""Bit position must be between 0 and 31."");
		
		return (((containerInteger & 0xFFFFFFFF) >> bitPosition) & 0x01) == 0x01;
	}
}","@Test
	public final void testIsBitEnabledNegativePosition() {
		// Setup the resources for the test.
		int n = 0xFFFF;
		
		exception.expect(IllegalArgumentException.class);
		exception.expectMessage(is(equalTo(""Bit position must be between 0 and 31."")));
		
		// Call the method under test.
		ByteUtils.isBitEnabled(n, -9);
	}",3
"(int containerInteger, int bitPosition)","public class IsBitEnabled {
public static boolean isBitEnabled(int containerInteger, int bitPosition) {
		if (bitPosition < 0 || bitPosition > 31)
			throw new IllegalArgumentException(""Bit position must be between 0 and 31."");
		
		return (((containerInteger & 0xFFFFFFFF) >> bitPosition) & 0x01) == 0x01;
	}
}","@Test
	public final void testIsBitEnabledPositionGreaterThanValid() {
		// Setup the resources for the test.
		int n = 0xFFFF;
		
		exception.expect(IllegalArgumentException.class);
		exception.expectMessage(is(equalTo(""Bit position must be between 0 and 31."")));
		
		// Call the method under test.
		ByteUtils.isBitEnabled(n, 400);
	}",3
"(int containerInteger, int bitPosition)","public class IsBitEnabled {
public static boolean isBitEnabled(int containerInteger, int bitPosition) {
		if (bitPosition < 0 || bitPosition > 31)
			throw new IllegalArgumentException(""Bit position must be between 0 and 31."");
		
		return (((containerInteger & 0xFFFFFFFF) >> bitPosition) & 0x01) == 0x01;
	}
}","@Test
	public final void testIsBitEnabledFalse() {
		// Setup the resources for the test.
		int n = 0x0;
		boolean expectedResult = false;
		
		// Call the method under test.
		boolean result = ByteUtils.isBitEnabled(n, 5);
		
		// Verify the result.
		assertThat(""Bit must be disabled"", result, is(equalTo(expectedResult)));
	}",3
"(int value, int minBytes)","public class IntegerToHexString {
public static String integerToHexString(int value, int minBytes) {
		if (minBytes <= 0)
			throw new IllegalArgumentException(""Minimum number of bytes must be greater than 0."");
		
		String f = String.format(""%%0%dX"", minBytes*2);
		return String.format(f, value);
	}
}","@Test
	public final void testIntegerToHexStringZeroMinBytes() {
		// Setup the resources for the test.
		int v = 0x12345678;
		exception.expect(IllegalArgumentException.class);
		exception.expectMessage(is(equalTo(""Minimum number of bytes must be greater than 0."")));
		
		// Call the method under test.
		HexUtils.integerToHexString(v, 0);
	}",2
"(int value, int minBytes)","public class IntegerToHexString {
public static String integerToHexString(int value, int minBytes) {
		if (minBytes <= 0)
			throw new IllegalArgumentException(""Minimum number of bytes must be greater than 0."");
		
		String f = String.format(""%%0%dX"", minBytes*2);
		return String.format(f, value);
	}
}","@Test
	public final void testIntegerToHexStringNegativeMinBytes() {
		// Setup the resources for the test.
		int v = 0x12345678;
		exception.expect(IllegalArgumentException.class);
		exception.expectMessage(is(equalTo(""Minimum number of bytes must be greater than 0."")));
		
		// Call the method under test.
		HexUtils.integerToHexString(v, -2);
	}",2
"(int value, int minBytes)","public class IntegerToHexString {
public static String integerToHexString(int value, int minBytes) {
		if (minBytes <= 0)
			throw new IllegalArgumentException(""Minimum number of bytes must be greater than 0."");
		
		String f = String.format(""%%0%dX"", minBytes*2);
		return String.format(f, value);
	}
}","@Test
	public final void testIntegerToHexString() {
		// Setup the resources for the test.
		int v = 0x12345678;
		String expectedResult = ""12345678"";
		
		// Call the method under test.
		String result = HexUtils.integerToHexString(v, 4);
		
		// Verify the result.
		assertThat(""Returned string must be equal to 'expectedResult'"", result, is(equalTo(expectedResult)));
	}",2
"(int value, int minBytes)","public class IntegerToHexString {
public static String integerToHexString(int value, int minBytes) {
		if (minBytes <= 0)
			throw new IllegalArgumentException(""Minimum number of bytes must be greater than 0."");
		
		String f = String.format(""%%0%dX"", minBytes*2);
		return String.format(f, value);
	}
}","@Test
	public final void testIntegerToHexStringMoreBytes() {
		// Setup the resources for the test.
		int v = 0x0000000012345678;
		String expectedResult = ""0000000012345678"";
		
		// Call the method under test.
		String result = HexUtils.integerToHexString(v, 8);
		
		// Verify the result.
		assertThat(""Returned string must be equal to 'expectedResult'"", result, is(equalTo(expectedResult)));
	}",2
"(long nodeCount, long relationshipCount)","public class Density {
public static double density(long nodeCount, long relationshipCount) {
        return (nodeCount > 0L) ? (double) relationshipCount / (nodeCount * (nodeCount - 1)) : 0;
    }
}","@Test
    void graphBasedDensity() {
        assertEquals(GraphStatistics.density(graph), 0.5);
    }",1
(int v),"public class PreviousPowerOfTwo {
public static int previousPowerOfTwo(int v) {
        v |= (v >>  1);
        v |= (v >>  2);
        v |= (v >>  4);
        v |= (v >>  8);
        v |= (v >> 16);
        return v - (v >>> 1);
    }
}","@Test
    void shouldReturnPreviousPowerOfTwoForInts() {
        assertEquals(Integer.MIN_VALUE, previousPowerOfTwo(Integer.MIN_VALUE));
        assertEquals(Integer.MIN_VALUE, previousPowerOfTwo(Integer.MIN_VALUE + 1));
        assertEquals(Integer.MIN_VALUE, previousPowerOfTwo(-1));
        assertEquals(0, previousPowerOfTwo(0));
        assertEquals(1, previousPowerOfTwo(1));
        assertEquals(2, previousPowerOfTwo(2));
        assertEquals(2, previousPowerOfTwo(3));
        assertEquals(4, previousPowerOfTwo(4));
        assertEquals(16, previousPowerOfTwo(31));
        assertEquals(32, previousPowerOfTwo(32));
        assertEquals(1 << 30, previousPowerOfTwo(1 << 30));
        assertEquals(1 << 30, previousPowerOfTwo((1 << 30) + 1));
        assertEquals(1 << 30, previousPowerOfTwo(Integer.MAX_VALUE - 1));
        assertEquals(1 << 30, previousPowerOfTwo(Integer.MAX_VALUE));
    }",1
"(long dividend, long divisor)","public class CeilDiv {
public static long ceilDiv(long dividend, long divisor) {
        return 1L + (-1L + dividend) / divisor;
    }
}","@Test
    void ceilDivForIntsRoundsTowardsPositiveInfinity() {
        assertEquals(0, ceilDiv(0, 1));
        assertEquals(1, ceilDiv(1, 1));
        assertEquals(1, ceilDiv(1, 2));
        assertEquals(1, ceilDiv(1, 3));
        assertEquals(1, ceilDiv(1, Integer.MAX_VALUE));
        assertEquals(42, ceilDiv(42, 1));
        assertEquals(21, ceilDiv(42, 2));
        assertEquals(14, ceilDiv(42, 3));
        assertEquals(11, ceilDiv(42, 4));
        assertEquals(9, ceilDiv(42, 5));
        assertEquals(7, ceilDiv(42, 6));
        assertEquals(1, ceilDiv(Integer.MAX_VALUE - 1, Integer.MAX_VALUE));
        assertEquals(1, ceilDiv(Integer.MAX_VALUE, Integer.MAX_VALUE));
    }",1
(int v),"public class PreviousPowerOfTwo {
public static int previousPowerOfTwo(int v) {
        v |= (v >>  1);
        v |= (v >>  2);
        v |= (v >>  4);
        v |= (v >>  8);
        v |= (v >> 16);
        return v - (v >>> 1);
    }
}","@Test
    void shouldReturnPreviousPowerOfTwoForLongs() {
        assertEquals(Long.MIN_VALUE, previousPowerOfTwo(Long.MIN_VALUE));
        assertEquals(Long.MIN_VALUE, previousPowerOfTwo(Long.MIN_VALUE + 1));
        assertEquals(Long.MIN_VALUE, previousPowerOfTwo(-1L));
        assertEquals(0L, previousPowerOfTwo(0L));
        assertEquals(1L, previousPowerOfTwo(1L));
        assertEquals(2L, previousPowerOfTwo(2L));
        assertEquals(2L, previousPowerOfTwo(3L));
        assertEquals(4L, previousPowerOfTwo(4L));
        assertEquals(32L, previousPowerOfTwo(32));
        assertEquals(16L, previousPowerOfTwo(31L));
        assertEquals(1L << 62, previousPowerOfTwo(1L << 62));
        assertEquals(1L << 62, previousPowerOfTwo((1L << 62) + 1));
        assertEquals(1L << 62, previousPowerOfTwo(Long.MAX_VALUE - 1));
        assertEquals(1L << 62, previousPowerOfTwo(Long.MAX_VALUE));
    }",1
(int v),"public class NextHighestPowerOfTwo {
public static int nextHighestPowerOfTwo(int v) {
        v--;
        v |= v >> 1;
        v |= v >> 2;
        v |= v >> 4;
        v |= v >> 8;
        v |= v >> 16;
        v++;
        return v;
    }
}","@Test
    void shouldReturnNextPowerOfTwoForInts() {
        assertEquals(Integer.MIN_VALUE, nextHighestPowerOfTwo(Integer.MIN_VALUE));
        assertEquals(0, nextHighestPowerOfTwo(Integer.MIN_VALUE + 1));
        assertEquals(0, nextHighestPowerOfTwo(-1));
        assertEquals(0, nextHighestPowerOfTwo(0));
        assertEquals(1, nextHighestPowerOfTwo(1));
        assertEquals(2, nextHighestPowerOfTwo(2));
        assertEquals(4, nextHighestPowerOfTwo(3));
        assertEquals(4, nextHighestPowerOfTwo(4));
        assertEquals(32, nextHighestPowerOfTwo(31));
        assertEquals(32, nextHighestPowerOfTwo(32));
        assertEquals(1 << 30, nextHighestPowerOfTwo(1 << 30));
        assertEquals(Integer.MIN_VALUE, nextHighestPowerOfTwo((1 << 30) + 1));
        assertEquals(Integer.MIN_VALUE, nextHighestPowerOfTwo(Integer.MAX_VALUE - 1));
        assertEquals(Integer.MIN_VALUE, nextHighestPowerOfTwo(Integer.MAX_VALUE));
    }",1
