,Function,cyclomatic_complexity,javadoc_length,tokens,LOC
150,"public class CALCNEWNRREADSIZE {
/**
	 * if totalNrRead < 0 then totalNrRead is returned, if (nrRead + totalNrRead) < Integer.MAX_VALUE then nrRead + totalNrRead is returned, -1 otherwise.
	 * @param nrRead
	 * @param totalNrNread
	 * @return
	 */
	protected static int calcNewNrReadSize(int nrRead, int totalNrNread) {
		if (totalNrNread < 0) {
			return totalNrNread;
		}
		if (totalNrNread > (Integer.MAX_VALUE - nrRead)) {
			return -1;
		} else {
			return (totalNrNread + nrRead);
		}
	}
}",3.0,1,22,6
151,"public class REHASH {
/**
     * Applies a supplemental hash function to a given hash code, which defends
     * against poor quality hash functions. This is critical when the concurrent
     * hash map uses power-of-two length hash tables, that otherwise encounter
     * collisions for hash codes that do not differ in lower or upper bits.
     *
     * @param h
     *        hash code
     */
    private static int rehash(int h) {
        // Spread bits to regularize both segment and index locations,
        // using variant of single-word Wang/Jenkins hash.
        h += (h << 15) ^ 0xffffcd7d;
        h ^= (h >>> 10);
        h += (h << 3);
        h ^= (h >>> 6);
        h += (h << 2) + (h << 14);
        return h ^ (h >>> 16);
    }
}",1.0,5,48,6
152,"public class GET2FOLD {
/**
     * Get the closest greater power of 2 to the fold number
     * 
     * @param fold The target number
     * @return The power of 2
     */
    private int get2Fold(int fold) {
        int ret = 2;
        while (ret < fold) {
            ret *= 2;
        }
        return ret;
    }
}",2.0,1,11,4
153,"public class EXECUTEKEYSHORTCUT {
/********************************************************************
	//               Protected methods
	//********************************************************************

	protected void checkLogin(){
		SecurityControllerAsync securityService = ControllerFactory.getSecurityController();
		securityService.checkLogin(getJsInfoModel(), new LoginAsync());

		
	}


	/**
	 * This method will be override by subclass if it want to have owned shortcut key in Web Page Body scope.
	 * @param keyCode
	 * @param modifier
	 * @return false, this will stop other key event handle, includes system level handle, such F1, Ctrl-A etc.
	 */
	protected boolean executeKeyShortcut(boolean ctrlKey, boolean altKey,
		      boolean shiftKey, boolean metaKey, int keyCode){
		return true;
	}
}",1.0,5,33,5
154,"public class CONTAINATTRIBUTES {
/********************************************************************
	//               set / get method
	//********************************************************************
	public Set<PageLink> getLinks() {
		return links;
	}

	public void setLinks(Set<PageLink> links) {
		this.links = links;
	}

	public PageProgress getPageProgress() {
		return pageProgress;
	}

	public void setPageProgress(PageProgress pageProgress) {
		this.pageProgress = pageProgress;
	}
	public List<PageTag> getTags() {
		return tags;
	}

	public void setTags(List<PageTag> tags) {
		this.tags = tags;
	}

	public boolean isRemoved() {
		return removed !=REMOVE_FLAG_NO?true:false;
	}
	public int getRemoved() {
		return removed;
	}

	public void setRemoved(int removed) {
		this.removed = removed;
	}
	/**
	 * @return
	 */
	public boolean containAttributes(int typeNewHome) {
		
		return false;
	}
}",1.0,19,68,2
155,"public class INT2CHAR {
/**
     * Convert an integer to the respective character representation.
     * Used to generate Word Shape Type II.
     * @param n The number.
     * @return The respective character.
     */
    private char Int2Char(int n) {
        if (n == 0) {
            return '*';
        }
        if (n == 1) {
            return 'a';
        }
        if (n == 2) {
            return '#';
        }

        return ' ';
    }
}",4.0,2,15,7
156,"public class ISRUSSIANLETTER {
/**
     * Checks if letter belongs to russian alphabet.
     *
     * @param letter The letter itself.
     * @return True if letter is russian, false — otherwise.
     */
    private static boolean isRussianLetter(char letter) {
        if ((letter >= 0x0410) && (letter <= 0x044F)) {
            return true;
        } else {
            return false;
        }
    }
}",3.0,1,7,4
157,"public class ISRUSSIANLETTER {
/**
     * Checks if letter belongs to russian alphabet.
     * @param letter The letter itself.
     * @return True if letter is russian, false — otherwise.
     */
    private static boolean isRussianLetter (char letter) {
        if ((letter >= 0x0410) && (letter <= 0x044F)) {
            return true;
        } else {
            return false;
        }
    }
}",3.0,1,7,4
158,"public class NORMALISEINDEX {
/**
     * This converts a possibly negative index to a real index into the array.
     *
     * @param i    the unnormalised index
     * @param size the array size
     * @return the normalised index
     */
    protected static int normaliseIndex(int i, int size) {
        int temp = i;
        if (i < 0) {
            i += size;
        }
        if (i < 0) {
            throw new ArrayIndexOutOfBoundsException(""Negative array index ["" + temp + ""] too large for array size "" + size);
        }
        return i;
    }
}",3.0,1,13,7
159,"public class ISNUMERICTYPESPECIFIER {
/**
    *  Returns true if the specified character is a valid type specifier
    *  for a numeric value.
    */

    public static boolean isNumericTypeSpecifier( char c, boolean isDecimal )
    {
        if( isDecimal )
        {
            switch( c )
            {
                case 'G':
                case 'g':
                case 'D':
                case 'd':
                case 'F':
                case 'f':
                    return true;
            }
        }
        else
        {
            switch( c )
            {
                case 'G':
                case 'g':
                case 'I':
                case 'i':
                case 'L':
                case 'l':
                    return true;
            }
        }

        return false;
    }
}",4.0,2,15,19
160,"public class GCD {
/**
   * Determines the greatest common divisor (GCD) of two integers.
   * 
   *  @param m the first integer
   *  @param n the second integer
   *  
   *  @return the greatest common divisor of m and n
   */
  public static int gcd(int m, int n) {
    if (m == 0 && n == 0)
      return 0;
    if (m < n) {
      int t = m;
      m = n;
      n = t;
    }
    int r = m % n;
    if (r == 0) {
      return n;
    } else {
      return gcd(n, r);
    }
  }
}",5.0,4,28,10
161,"public class NEXTRAND {
/** Marsaglia, 2003. */
  long nextRand(long x) {
    x ^= (x << 13);
    x ^= (x >>> 7);
    return (x ^= (x << 17));
  }
}",1.0,1,4,4
162,"public class GETVINTSIZE {
/**
   * Get the encoded length if an integer is stored in a variable-length format
   * @return the encoded length 
   */
  public static int getVIntSize(long i) {
    if (i >= -112 && i <= 127) {
      return 1;
    }
      
    if (i < 0) {
      i ^= -1L; // take one's complement'
    }
    // find the number of bytes with non-leading zeros
    int dataBits = Long.SIZE - Long.numberOfLeadingZeros(i);
    // find the number of data bytes + length byte
    return (dataBits + 7) / 8 + 1;
  }
}",4.0,1,13,6
163,"public class GETMAXDEPTH {
/**
   * Deepest recursion before giving up and doing a heapsort.
   * Returns 2 * ceil(log(n)).
   */
  protected static int getMaxDepth(int x) {
    if (x <= 0)
      throw new IllegalArgumentException(""Undefined for "" + x);
    return (32 - Integer.numberOfLeadingZeros(x - 1)) << 2;
  }
}",2.0,2,13,2
164,"public class GETPASSFACTOR {
/**
     * Determine the number of segments to merge in a given pass. Assuming more
     * than factor segments, the first pass should attempt to bring the total
     * number of segments - 1 to be divisible by the factor - 1 (each pass
     * takes X segments and produces 1) to minimize the number of merges.
     */
    private int getPassFactor(int factor, int passNo, int numSegments) {
      if (passNo > 1 || numSegments <= factor || factor == 1) 
        return factor;
      int mod = (numSegments - 1) % (factor - 1);
      if (mod == 0)
        return factor;
      return mod + 1;
    }
}",5.0,4,52,4
165,"public class GETCLOSESTPOWEROF2 {
/**
   * Return the exponent of the power of two closest to the given
   * positive value, or zero if value leq 0.
   * This follows the observation that the msb of a given value is
   * also the closest power of two, unless the bit following it is
   * set.
   */
  private static int getClosestPowerOf2(int value) {
    if (value <= 0)
      throw new IllegalArgumentException(""Undefined for "" + value);
    final int hob = Integer.highestOneBit(value);
    return Integer.numberOfTrailingZeros(hob) +
      (((hob >>> 1) & value) == 0 ? 0 : 1);
  }
}",2.0,5,45,3
166,"public class NUMBERDIGITS {
/**
   * Calculate how many digits are in the 10-based integer.
   * 
   * @param value
   * @return
   */
  private static int numberDigits(int value) {
    int digits = 0;
    while ((value = value / 10) > 0) {
      digits++;
    }
    return digits;
  }
}",2.0,1,9,4
167,"public class WITHINTOLERANCE {
/**
     * Calculate if the error in expected and observed values is within tolerance
     *
     * @param expectedValue  expected value of experiment
     * @param observedValue  observed value of experiment
     * @param tolerance      per cent tolerance for error, represented as a int
     */
    private boolean withinTolerance(long expectedValue,
                                    long observedValue,
                                    int tolerance) {
        double diff = 1.0 * Math.abs(observedValue - expectedValue);
        double thrs = expectedValue * (tolerance/100);
        return diff > thrs;
    }
}",1.0,1,12,3
168,"public class SETVALUERANGE {
/**
   * Forces the value passed in to be between the range passed in
   *
   * @param val the value to constrain
   * @param min the minimum acceptable value
   * @param max the maximum acceptable value
   * @return the constrained value
   */
  private int setValueRange(int val, int min, int max)
  {
    val = Math.max(val, min);
    val = Math.min(val, max);
    return val;
  }
}",1.0,1,12,3
169,"public class GETDOUBLE {
/**
   * Converts excel's internal RK format into a double value
   *
   * @param rk the rk number in bits
   * @return the double representation
   */
  public static double getDouble(int rk)
  {
    if ((rk & 0x02) != 0)
    {
      int intval = rk >> 2;

      double value = intval;
      if ((rk & 0x01) != 0)
      {
        value /= 100;
      }

      return value;
    }
    else
    {
      long valbits = (rk & 0xfffffffc);
      valbits <<= 32;
      double value = Double.longBitsToDouble(valbits);

      if ((rk & 0x01) != 0)
      {
        value /= 100;
      }

      return value;
    }
  }
}",4.0,1,9,13
170,"public class ROTLEFT15BIT {
/**
   * Rotate the value by 15 bits.  Thanks to Michael for this
   *
   * @param val
   * @param rotate
   * @return int
   */
  private int rotLeft15Bit(int val, int rotate)
  {
    val = val &0x7FFF;

    for(; rotate > 0; rotate--) 
    {
      if((val & 0x4000) != 0) 
      {
        val = ((val << 1) & 0x7FFF) + 1;
      }
      else
      {
        val = (val << 1) & 0x7FFF;
      }
    }

    return val;
  }
}",3.0,1,11,7
171,"public class TILESPACK1A {
/******************** Task 1 ********************/
	public static long tilesPack1a(int n) {
		// stop at 0 or 1 tiles - there's only one option for that to happen
		if (n < 2) {
			return 1;
		}
		
		// sum the options to place a single tile and a double tile
		return tilesPack1a(n-1) + tilesPack1a(n-2);
	}
}",2.0,1,4,3
172,"public class CLAMP {
/**
	 * Clamp val to be &gt;= min and &lt; max.
	 */
	private static int clamp(int val, int min, int max) {
		if (val < min) {
			return min;
		} else if (val >= max) {
			return max - 1;
		} else {
			return val;
		}
	}
}",3.0,1,9,6
173,"public class X {
/**
     * Scale d by m, checking for overflow.
     * This has a short name to make above code more readable.
     */
    static long x(long d, long m, long over) {
        if (d >  over) return Long.MAX_VALUE;
        if (d < -over) return Long.MIN_VALUE;
        return d * m;
    }
}",3.0,2,18,3
174,"public class ISGOODHTTPSTATUS {
/** Determines whether the specifed HTTP status code is generally ""good"" */
    public boolean isGoodHttpStatus(int status) {
        if ((400 <= status) && (status <= 417)) {
            return false;
        }
        if ((500 <= status) && (status <= 505)) {
            return false;
        }
        return true;
    }
}",5.0,1,12,5
175,"public class CHARLENGTH {
/**
     * Finds the visual length of the character on the screen.
     * @param x
     * @return
     */
    public static int charLength(char x)
    {
        if (""i.:,;|!"".indexOf(x) != -1)
        {
            return 2;
        }
        else if (""l'"".indexOf(x) != -1)
        {
            return 3;
        }
        else if (""tI[]"".indexOf(x) != -1)
        {
            return 4;
        }
        else if (""fk{}<>\""*()"".indexOf(x) != -1)
        {
            return 5;
        }
        else if (""abcdeghjmnopqrsuvwxyzABCDEFGHJKLMNOPQRSTUVWXYZ1234567890\\/#?$%-=_+&^"".indexOf(x) != -1)
        {
            return 6;
        }
        else if (""@~"".indexOf(x) != -1)
        {
            return 7;
        }
        else if (x == ' ')
        {
            return 4;
        }
        else
        {
            return -1;
        }
    }
}",8.0,1,10,17
