Parameter,Function,Test Case,cyclomatic_complexity
(int modulesPerPage),"public class CalculateColumnsPerRow {
public static int calculateColumnsPerRow(int modulesPerPage) {
    return modulesPerPage <= 3 ? modulesPerPage : (int) Math.ceil(Math.sqrt(modulesPerPage));
  }
}","@Test
  void calculateColumnsPerRow() {
    int[] modulesPerPage = {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12};
    int[] columnsPerRow =  {0, 1, 2, 3, 2, 3, 3, 3, 3, 3,  4,  4,  4};
    for (int i = 0; i < modulesPerPage.length; i++) {
      assertEquals(columnsPerRow[i], WorkbenchUtils.calculateColumnsPerRow(modulesPerPage[i]));
    }
  }",1
"(double y1, long x1, double y2, long x2, long x)","public class LinearInterpolation {
static double linearInterpolation(double y1, long x1, double y2, long x2, long x) {
        return y1 + (y2 - y1) / (x2 - x1) * (x - x1);
    }
}","@Test
    public void testLinearInterpolation() {
        assertEquals(1, PositionTime.linearInterpolation(1, 1, 3, 3, 1), 1e-16);
        assertEquals(3, PositionTime.linearInterpolation(1, 1, 3, 3, 3), 1e-16);

        assertEquals(2, PositionTime.linearInterpolation(1, 1, 3, 3, 2), 1e-16);
        assertEquals(10, PositionTime.linearInterpolation(1, 1, 3, 3, 10), 1e-16);

        assertEquals(2.5, PositionTime.linearInterpolation(0, 0, 5, 10, 5), 1e-16);
        assertEquals(4.5, PositionTime.linearInterpolation(0, 0, 5, 10, 9), 1e-16);
    }",1
"(int count, int total)","public class GetPercentage {
protected static int getPercentage(int count, int total) {
    return total > 0 ? count * 100 / total : 0;
  }
}","@Test
    public void testPercentage() {
        assertEquals(9, DatasetMetricsServiceMyBatis.getPercentage(103, 1078));
        assertEquals(9, DatasetMetricsServiceMyBatis.getPercentage(90, 1000));
        assertEquals(0, DatasetMetricsServiceMyBatis.getPercentage(1, 1078));
        assertEquals(0, DatasetMetricsServiceMyBatis.getPercentage(0, 1078));
        assertEquals(99, DatasetMetricsServiceMyBatis.getPercentage(1077, 1078));
        assertEquals(100, DatasetMetricsServiceMyBatis.getPercentage(1077, 1077));
    }",1
(int n),"public class Space {
public static String space(int n){
        final StringBuilder sb = new StringBuilder(/*20 spaces*/""                    "");
        while( sb.length() < n){
            sb.append(sb);
        }
        return sb.substring(0,n);
    }
}","@Test
    @DisplayName(""Test that space() returns only spaces and as many as requested"")
    void testSpaces(){
        for( int i = 0 ; i < 200 ; i ++ ){
            final var result = JVM8Tools.space(i);
            Assertions.assertEquals(i,result.length());
            for( int j = 0 ; j < result.length() ; j++ ) {
                Assertions.assertEquals(' ',result.charAt(j));
            }
        }
    }",2
(long n),"public class CountOf1InBinary {
static int countOf1InBinary(long n) {
        int count = 0;
        while (n > 0) {
            count = n % 2 > 0 ? count + 1 : count;
            n = n >> 1;
        }
        return count;
    }
}","@Test
    public void countOf1InBinary() {
        assertEquals(BitUtils.countOf1InBinary(4), 1);
        assertEquals(BitUtils.countOf1InBinary(5), 2);
        assertEquals(BitUtils.countOf1InBinary(13), 3);
    }",2
(int n),"public class BinLength {
public static int binLength(int n) {
        int len = 1;
        while (n >> len > 0) {
            len += 1;
        }
        return len;
    }
}","@Test
    public void binLength() {
        assertTrue(BitUtils.binLength(10) == 4);
        assertTrue(BitUtils.binLength(0) == 1);
        assertTrue(BitUtils.binLength(2) == 2);
        assertTrue(BitUtils.binLength(8) == 4);
    }",2
"(int lo, int hi)","public class AscIntArray {
public static Integer[] ascIntArray(int lo, int hi) {
    int length = hi - lo + 1;
    Integer[] arr = new Integer[length];
    for (int i = 0; i < length; i++) {
      arr[i] = i + lo;
    }
    return arr;
  }
}","@Test
  public void testAscIntArray(){
    Integer[] arr = ascIntArray(15,45);
    show(arr);
    arr = ascIntArray(30);
    show(arr);
    arr = descIntArray(16, 30);
    show(arr);
    arr = descIntArray(30);
    show(arr);
  }",2
(char var0),"public class A {
private static byte a(char var0) {
    byte var1 = 0;
    if (var0 != 'c') {
      switch(var0) {
        case '0':
          break;
        case '1':
          return 1;
        case '2':
          return 2;
        case '3':
          return 3;
        case '4':
          return 4;
        case '5':
          return 5;
        case '6':
          return 6;
        case '7':
          return 7;
        case '8':
          return 8;
        case '9':
          return 9;
        default:
          switch(var0) {
            case 'A':
              return 10;
            case 'B':
              return 11;
            default:
              switch(var0) {
                case 'D':
                  return 13;
                case 'E':
                  return 14;
                case 'F':
                  return 15;
                default:
                  return 0;
              }
          }
      }
    } else {
      var1 = 12;
    }

    return var1;
  }
}","@Test
    public void a() {
        String a = PassWord.a(PassWordTime.a(), ""062310"");
        System.out.println(a);
    }",5
"(long dividend, int divisor)","public class SignSafeMod {
public static int signSafeMod(long dividend, int divisor) {
        int mod = (int) (dividend % divisor);

        if (mod < 0) {
            mod += divisor;
        }

        return mod;
    }
}","@Test
    public void testSignSafeMod() {
        assertEquals(1, signSafeMod(11, 2));
        assertEquals(1, signSafeMod(-11, 2));
        assertEquals(1, signSafeMod(11, -2));
        assertEquals(-3, signSafeMod(-11, -2));
    }",2
"(int b1, int b2, int b3, int b4)","public class ParseBytes {
public static int parseBytes(int b1, int b2, int b3, int b4) {
        return  ((b1 << 3 * 8) & 0xFF000000)
              | ((b2 << 2 * 8) & 0x00FF0000)
              | ((b3 << 1 * 8) & 0x0000FF00)
              | ((b4 << 0 * 8) & 0x000000FF);
    }
}","@Test
    public void testParsingBytes() {
        Assert.assertEquals(0xFF00FF00, Utilities.parseBytes(0xFF, 0, 0xFF, 0));
        Assert.assertEquals(0x00FF00FF, Utilities.parseBytes(0, 0xFF, 0, 0xFF));
        Assert.assertEquals(0xDEADBEEF, Utilities.parseBytes(0xDE, 0xAD, 0xBE, 0xEF));
        Assert.assertEquals(0x0EADBEEF, Utilities.parseBytes(0x0E, 0xAD, 0xBE, 0xEF));

        Assert.assertTrue(Utilities.parseBytes(0xF0, 0,0,0) < 0);
        Assert.assertTrue(Utilities.parseBytes(0x80, 0,0,0) < 0);
        Assert.assertTrue(Utilities.parseBytes(0x70, 0,0,0) > 0);
    }",1
"(double a, double b)","public class MinimumDifference {
public static double minimumDifference(double a, double b) {
		double diffAngle = b - a;
		if (diffAngle > 180)
			diffAngle -= 360;
		else if (diffAngle < -180)
			diffAngle += 360;
		return diffAngle;
	}
}","@Test
	public void test() {
		
		assertThat(AngleUtils.minimumDifference(0, 0), IsEqual.equalTo(0.0));
		assertThat(AngleUtils.minimumDifference(0, 180), IsEqual.equalTo(180.0));
		assertThat(AngleUtils.minimumDifference(0, 181), IsEqual.equalTo(-179.0));
		assertThat(AngleUtils.minimumDifference(0, 359), IsEqual.equalTo(-1.0));
		
	}",3
"(int frame, int fps)","public class FramesToSeconds {
public static float framesToSeconds(int frame, int fps) {
		return ((float) frame / fps);
	}
}","@Test
	public void test2() {
		assertThat(AnimationUtils.framesToSeconds(0, 30), IsEqual.equalTo(0f));
		assertThat(AnimationUtils.framesToSeconds(1, 30), IsEqual.equalTo(1f / 30f));
		assertThat(AnimationUtils.framesToSeconds(30, 30), IsEqual.equalTo(1f));
	}",1
(boolean isAdjectiveCluster),"public class SetIsAdjectiveCluster {
public void setIsAdjectiveCluster(boolean isAdjectiveCluster) {
        throw new UnsupportedOperationException();
    }
}","@Test(expected = UnsupportedOperationException.class)
    public void testSetAdjectiveCluster() throws JWNLException {
        testObj.setIsAdjectiveCluster(true);
    }",1
( short value ),"public class UnsignedShortToInt {
public static int unsignedShortToInt( short value )
    {
        return value & 0xFFFF;
    }
}","@Test
    void castUnsignedShortToInt()
    {
        assertEquals( 1, unsignedShortToInt( (short) 1 ) );
        assertEquals( Short.MAX_VALUE, unsignedShortToInt( Short.MAX_VALUE ) );
        assertEquals( (Short.MAX_VALUE << 1) | 1, unsignedShortToInt( (short) -1 ) );
    }",1
"( long pointer, int alignBy )","public class AlignedMemory {
public static long alignedMemory( long pointer, int alignBy )
    {
        assert Integer.bitCount( alignBy ) == 1 : ""Requires alignment to be power of 2, but was "" + alignBy;

        long misalignment = pointer % alignBy;
        return misalignment == 0 ? pointer : pointer + (alignBy - misalignment);
    }
}","@Test
    void shouldAlignMemoryTo4ByteBoundary()
    {
        // GIVEN
        long allocatedMemory = currentTimeMillis();
        int alignBy = 4;

        // WHEN
        for ( int i = 0; i < 10; i++ )
        {
            // THEN
            long alignedMemory = UnsafeUtil.alignedMemory( allocatedMemory, alignBy );
            assertTrue( alignedMemory >= allocatedMemory );
            assertEquals( 0, alignedMemory % Integer.BYTES );
            assertTrue( alignedMemory - allocatedMemory <= 3 );
            allocatedMemory++;
        }
    }",1
( byte b ),"public class Byte2hex {
public static String byte2hex( byte b )
    {
        return Integer.toHexString(b & 0xff);
    }
}","@Test
    public void testByteUtilsConvertByte()
    {
        Assertions.assertEquals(""0"",  ByteUtils.byte2hex((byte)0));
        Assertions.assertEquals(""f"",  ByteUtils.byte2hex((byte)15));
        Assertions.assertEquals(""10"", ByteUtils.byte2hex((byte)16));
        Assertions.assertEquals(""7f"", ByteUtils.byte2hex((byte)127));
    }",1
"(int a, int b)","public class Cantorize {
public static long cantorize(int a, int b) {
        return (((long) a + (long) b) * ((long) a + (long) b + 1) / 2) + (long) b;
    }
}","@Test
    public void testCantorize() {
        assertNotEquals(MathHelper.cantorize(2,3), MathHelper.cantorize(3,2));
    }",1
"(double number, int digits)","public class Round {
public static double round(double number, int digits) {
        if (Double.isNaN(number)) {
            return Double.NaN;
        }
        double numberFactor = Math.pow(10.0, digits);
        return Math.round(numberFactor * number) / numberFactor;
    }
}","@Test
    public void testRound() {
        assertEquals(0.333, MathHelper.round(1. / 3, 3), 0.);
        assertTrue(Double.isNaN(MathHelper.round(Double.NaN, 2)));
    }",2
(double number),"public class GetOrderOfMagnitude {
public static int getOrderOfMagnitude(double number) {
        if (number == 0) {
            // this version works fine for me, but don't know, if this is mathematically correct, see:
            // http://www.mathworks.com/matlabcentral/fileexchange/28559-order-of-magnitude-of-number
            return 0;
        }
        return (int) Math.floor(Math.log10(number));
    }
}","@Test
    public void testGetOrderOfMagnitude() {
        assertEquals(0, MathHelper.getOrderOfMagnitude(0));
        assertEquals(0, MathHelper.getOrderOfMagnitude(1));
        assertEquals(1, MathHelper.getOrderOfMagnitude(10));
        assertEquals(2, MathHelper.getOrderOfMagnitude(100));
        assertEquals(-1, MathHelper.getOrderOfMagnitude(0.1));
        assertEquals(-2, MathHelper.getOrderOfMagnitude(0.01));
        assertEquals(5, MathHelper.getOrderOfMagnitude(123456));
    }",2
"(int a, int b)","public class Add {
public static int add(int a, int b) throws ArithmeticException {
        int sum = a + b;
        if ((a & b & ~sum | ~a & ~b & sum) < 0) {
            throw new ArithmeticException(""Overflow for "" + a + ""+"" + b);
        }
        return sum;
    }
}","@Test
    public void testAdd() {
        assertEquals(46912, MathHelper.add(12345, 34567));
        assertEquals(22222, MathHelper.add(34567, -12345));
        try {
            MathHelper.add(Integer.MAX_VALUE, 1);
            fail();
        } catch (ArithmeticException e) {
            // expected
        }
        try {
            MathHelper.add(1, Integer.MAX_VALUE);
            fail();
        } catch (ArithmeticException e) {
            // expected
        }
        try {
            MathHelper.add(Integer.MIN_VALUE, -1);
            fail();
        } catch (ArithmeticException e) {
            // expected
        }
    }",2
"(double lat, double lng)","public class IsValidCoordinateRange {
public static boolean isValidCoordinateRange(double lat, double lng) {
        return -90 <= lat && lat <= 90 && -180 <= lng && lng <= 180;
    }
}","@Test
    public void testValidateRange() {
        assertTrue(GeoUtils.isValidCoordinateRange(45, 175));
        assertFalse(GeoUtils.isValidCoordinateRange(45, 195));
        assertFalse(GeoUtils.isValidCoordinateRange(-95, 175));
    }",4
(double lat),"public class NormalizeLatitude {
public static double normalizeLatitude(double lat) {
        if (lat > 90) {
            return 90;
        }
        if (lat < -90) {
            return -90;
        }
        return lat;
    }
}","@Test
    public void testNormalizeLatitude() {
        assertEquals(-90, GeoUtils.normalizeLatitude(-90), 0);
        assertEquals(90, GeoUtils.normalizeLatitude(90), 0);
        assertEquals(45, GeoUtils.normalizeLatitude(45), 0);
        assertEquals(90, GeoUtils.normalizeLatitude(95), 0);
        assertEquals(-90, GeoUtils.normalizeLatitude(-95), 0);
    }",3
(double lng),"public class NormalizeLongitude {
public static double normalizeLongitude(double lng) {
        double result = lng;
        while (result < -180) {
            result += 360;
        }
        while (result > 180) {
            result -= 360;
        }
        return result;
    }
}","@Test
    public void testNormalizeLongitude() {
        assertEquals(-180, GeoUtils.normalizeLongitude(-180), 0);
        assertEquals(180, GeoUtils.normalizeLongitude(180), 0);
        assertEquals(0, GeoUtils.normalizeLongitude(0), 0);
        assertEquals(-175, GeoUtils.normalizeLongitude(185), 0);
        assertEquals(175, GeoUtils.normalizeLongitude(-185), 0);
    }",3
"(char value, int n)","public class Repeat {
public static String repeat(char value, int n) {
    return new String(new char[n]).replace(""\0"", String.valueOf(value));
  }
}","@Test
  public void testRepeat() {
    Assertions.assertEquals(repeat('0', 0), """");
    Assertions.assertEquals(repeat('1', 3), ""111"");
  }",1
"(double x1, double y1, double x2, double y2)","public class FindDistance {
public static double findDistance(double x1, double y1, double x2, double y2) {
        return Math.sqrt(Math.pow((x1-x2), 2) + Math.pow(y2-y1, 2));
    }
}","@Test
    public void findDistanceTest() {
        assertEquals(1, MathUtils.findDistance(0, 0, 0, 1), 0.000001);
        assertEquals(1, MathUtils.findDistance(0, 0, 0, -1), 0.000001);
        assertEquals(5, MathUtils.findDistance(0, 0, 3, 4), 0.000001);
        assertEquals(1, MathUtils.findDistance(1, 0, 0, 0), 0.000001);
        assertEquals(1, MathUtils.findDistance(0, 1, 0, 0), 0.000001);
        assertEquals(1, MathUtils.findDistance(0, 0, 1, 0), 0.000001);
    }",1
(int value),"public class IntToUnsignedLong {
public static long intToUnsignedLong(int value) {
        return value & 0x00000000ffffffffL;
    }
}","@Test
    public void testIntToUnsignedLong() {
        int a = 0;
        int b = 1;
        int c = -1;
        int d = Integer.MAX_VALUE;
        int e = Integer.MIN_VALUE;
        int f = 12345;
        Assert.assertEquals(""Wrong conversion"", 0, BinContent.intToUnsignedLong(a));
        Assert.assertEquals(""Wrong conversion"", 1, BinContent.intToUnsignedLong(b));
        Assert.assertEquals(""Wrong conversion"", 4294967295L, BinContent.intToUnsignedLong(c));
        Assert.assertEquals(""Wrong conversion"", Integer.MAX_VALUE, BinContent.intToUnsignedLong(d));
        Assert.assertEquals(""Wrong conversion"", ((long) Integer.MAX_VALUE) + 1, BinContent.intToUnsignedLong(e));
        Assert.assertEquals(""Wrong conversion"", 12345, BinContent.intToUnsignedLong(f));
    }",1
