Parameter,Function,Test Case
(int number),"class divisors {
public static int[] divisors(int number) {
        if (number == 0) {
            return new int[0];
        }
        number = Math.abs(number);
        int[] divisors = new int[16];
        divisors[0] = 1;
        int count = 1;
        /*
         * Searchs for the first divisors among the prime numbers. We stop the search at the
         * square root of 'n' because every values above that point can be inferred from the
         * values before that point, i.e. if n=p1*p2 and p2 is greater than 'sqrt', than p1
         * most be lower than 'sqrt'.
         */
        final int sqrt = (int) (Math.sqrt(number) + 1E-6); // Really wants rounding toward 0.
        for (int p, i = 0; (p = primeNumber(i)) <= sqrt; i++) {
            if (number % p == 0) {
                if (count == divisors.length) {
                    divisors = XArray.resize(divisors, count * 2);
                }
                divisors[count++] = p;
            }
        }
        /*
         * Completes the divisors past 'sqrt'. The numbers added here may or may not be prime
         * numbers. Side note: checking that they are prime numbers would be costly, but this
         * algorithm doesn't need that.
         */
        int source = count;
        if (count * 2 > divisors.length) {
            divisors = XArray.resize(divisors, count * 2);
        }
        int d1 = divisors[--source];
        int d2 = number / d1;
        if (d1 != d2) {
            divisors[count++] = d2;
        }
        while (--source >= 0) {
            divisors[count++] = number / divisors[source];
        }
        /*
         * Checks the products of divisors found so far. For example if 2 and 3 are divisors,
         * checks if 6 is a divisor as well. The products found will themself be used for
         * computing new products.
         */
        for (int i = 1; i < count; i++) {
            d1 = divisors[i];
            for (int j = i; j < count; j++) {
                d2 = d1 * divisors[j];
                if (number % d2 == 0) {
                    int p = org.geotools.util.Java6.binarySearch(divisors, j, count, d2);
                    if (p < 0) {
                        p = ~p; // ~ operator, not minus
                        if (count == divisors.length) {
                            divisors = XArray.resize(divisors, count * 2);
                        }
                        System.arraycopy(divisors, p, divisors, p + 1, count - p);
                        divisors[p] = d2;
                        count++;
                    }
                }
            }
        }
        divisors = XArray.resize(divisors, count);
        assert XArray.isStrictlySorted(divisors);
        return divisors;
    }
}","@Test
    public void testDivisors() {
        for (int i = 0; i < 10000; i++) {
            final int[] divisors = divisors(i);
            assertTrue(XArray.isStrictlySorted(divisors));
            for (int j = 0; j < divisors.length; j++) {
                assertEquals(0, i % divisors[j]);
            }
            if (i == 0) {
                assertEquals(0, divisors.length);
            } else {
                assertEquals(1, divisors[0]);
                assertEquals(i, divisors[divisors.length - 1]);
            }
        }
        assertTrue(
                Arrays.equals(
                        divisors(2000),
                        new int[] {
                            1, 2, 4, 5, 8, 10, 16, 20, 25, 40, 50, 80, 100, 125, 200, 250, 400, 500,
                            1000, 2000
                        }));
        assertTrue(Arrays.equals(divisors(4331), new int[] {1, 61, 71, 4331}));
        assertTrue(
                Arrays.equals(
                        divisors(7800),
                        new int[] {
                            1, 2, 3, 4, 5, 6, 8, 10, 12, 13, 15, 20, 24, 25, 26, 30, 39, 40, 50, 52,
                            60, 65, 75, 78, 100, 104, 120, 130, 150, 156, 195, 200, 260, 300, 312,
                            325, 390, 520, 600, 650, 780, 975, 1300, 1560, 1950, 2600, 3900, 7800
                        }));
    }"
(int number),"class getFactorsOf {
public List<Integer> getFactorsOf(int number) {
        List<Integer> factors = new ArrayList<Integer>();

        int divisor = 2;

        while (number != 1) {
            while (number % divisor == 0) {
                number = number / divisor;
                factors.add(divisor);
            }
            divisor++;
        }

        return factors;
    }
}","@Test
    public void testThat3Returns3() {
        PrimeFactors factors = new PrimeFactors();
        List<Integer> result = factors.getFactorsOf(3);
        assertThat(result).isEqualTo(Arrays.asList(3));
    }"
(int number),"class encode {
public String encode(int number) {
		int i = number;
		if(i == 0) {
			return Character.toString(CHARSET[0]);
		}
		
		StringBuilder stringBuilder = new StringBuilder();
		while(i > 0) {
			int remainder = i % ALPHABET_LENGTH;
			i /= ALPHABET_LENGTH;
			stringBuilder.append(CHARSET[remainder]);
		}
		return stringBuilder.reverse().toString();
	}
}","@Test
	public void testNumber() {
		int encodeValue = 52;
		for(int i = 0; i<10; i++) {
			String expected = String.valueOf(i);
			assertEquals(""The numeric value "" + encodeValue
					+ "" should be encoded to '"" + expected + ""'"", expected,
					alphaNumericCodec.encode(encodeValue++));
		}
	}"
(int number),"class anserFor {
public String anserFor(int number) {
        
        String answer = """";
        
        if(isDivisibleBy(number,3)){
            answer += ""Fizz"";
        }
        
        if(isDivisibleBy(number, 5)){
            answer += ""Buzz"";
        }
        
        return answer.isEmpty() ? String.valueOf(number) : answer;
    }
}","@Test
    public void shouldAnswerFizzFor6() throws Exception {
        
        Assert.assertEquals(fizzBuzz.anserFor(6), ""Fizz"");
    }"
(int number),"class jsonInt {
public static Matcher<JsonNode> jsonInt(int number) {
    return new IsJsonNumber(is(number), NumericNode::asInt);
  }
}","@Test
  public void testMatchIntValue() throws Exception {
    final Matcher<JsonNode> sut = jsonInt(1);

    assertThat(NF.numberNode(1), is(sut));
  }"
(int number),"class translate {
public static String translate(int number) {
      return Integer.toString(translateToInt(number));
   }
}","@Test
   public void
   it_translated_6(){
      assertThat(translate(6)).isEqualTo(""1001"");
   }"
(int number),"class getFactorsOf {
public List<Integer> getFactorsOf(int number) {
        List<Integer> factors = new ArrayList<Integer>();

        int divisor = 2;

        while (number != 1) {
            while (number % divisor == 0) {
                number = number / divisor;
                factors.add(divisor);
            }
            divisor++;
        }

        return factors;
    }
}","@Test
    public void testThat2Returns2() {
        PrimeFactors factors = new PrimeFactors();
        List<Integer> result = factors.getFactorsOf(2);
        assertThat(result).isEqualTo(Arrays.asList(2));
    }"
(int number),"class calculateHandshake {
List<Signal> calculateHandshake(int number) {
        throw new UnsupportedOperationException(""Delete this statement and write your own implementation."");
    }
}","@Ignore(""Remove to run test"")
    @Test
    public void testInputThatYieldsAllActionsReversed() {
        assertEquals(
                asList(Signal.JUMP, Signal.CLOSE_YOUR_EYES, Signal.DOUBLE_BLINK, Signal.WINK),
                handshakeCalculator.calculateHandshake(31));
    }"
(int count),"class readBackward {
public List<T> readBackward(int count) {
        List<T> data = new ArrayList<T>(count);
        Node<T> node = head.getPrevious();
        for (int i = 0; i < count; i++) {
            data.add(node.getData());
            node = node.getPrevious();
        }
        return data;
    }
}","@Test
    public void readBackward() {
        int size = 16;
        FixedSizeCircularLinkedList<AtomicInteger> list = new FixedSizeCircularLinkedList<AtomicInteger>(size, AtomicInteger.class);
        for (int i = 0; i < size; i++) {
            list.head().set(i);
            list.rotateForward();
        }

        // one
        assertEquals(15, list.readBackward(1).get(0).get());

        // five
        List<AtomicInteger> five = list.readBackward(5);
        int sumOfFive = 0;
        for (int i = 0; i < 5; i++) {
            sumOfFive += five.get(i).get();
        }
        assertEquals(65, sumOfFive);

        // fifteen
        List<AtomicInteger> fifteen = list.readBackward(15);
        int sumOfFifteen = 0;
        for (int i = 0; i < 15; i++) {
            sumOfFifteen += fifteen.get(i).get();
        }
        assertEquals(120, sumOfFifteen);
    }"
(int count),"class startIdentifiedAtlasDbTransactionBatch {
@Override
    public List<StartIdentifiedAtlasDbTransactionResponse> startIdentifiedAtlasDbTransactionBatch(int count) {
        return runTaskTimed(""startIdentifiedAtlasDbTransactionBatch"",
                () -> delegate.startIdentifiedAtlasDbTransactionBatch(count));
    }
}","@Test
    public void logsSlowestOperationIfMultipleOperationsExceedTheSlowThresholdIfNotFirst() {
        accumulateLogsWithCall(LONG_DURATION, profilingTimelockService::getFreshTimestamp);
        flushLogsWithCall(TWO_CENTURIES, () -> profilingTimelockService.startIdentifiedAtlasDbTransactionBatch(1));

        verifyLoggerInvokedOnceWithSpecificProfile(""startIdentifiedAtlasDbTransactionBatch"", TWO_CENTURIES);
    }"
(int count),"class getEvents {
@NonNull
    Map<String, String> getEvents(int count) {
        HashMap<String, String> events = new HashMap<>(count);

        String[] columns = new String[] {
                EventsStorage.Events.COLUMN_NAME_EVENT_ID,
                EventsStorage.Events.COLUMN_NAME_DATA
        };

        Uri eventsUri = uri.buildUpon().appendQueryParameter(UrbanAirshipProvider.QUERY_PARAMETER_LIMIT, String.valueOf(count)).build();

        Cursor cursor = query(eventsUri, columns, null, null, ASCENDING_SORT_ORDER);

        if (cursor == null) {
            return events;
        }

        cursor.moveToFirst();
        while (!cursor.isAfterLast()) {
            events.put(cursor.getString(0), cursor.getString(1));
            cursor.moveToNext();
        }

        cursor.close();

        return events;
    }
}","@Test
    public void testGetEventsEmptyDatabase() {
        Map<String, String> eventData = eventResolver.getEvents(300);
        assertEquals(0, eventData.size());
    }"
(int count),"class setEventCountAfterLastSnapshot {
final void setEventCountAfterLastSnapshot(int count) {
        checkArgument(count >= 0, ""Event count cannot be negative."");
        this.eventCountAfterLastSnapshot = count;
    }
}","@Test
    @DisplayName(""not allow a negative event count after last snapshot"")
    void negativeEventCount() {
        Aggregate<?, ?, ?> aggregate = this.aggregate;
        assertThrows(IllegalArgumentException.class,
                     () -> aggregate.setEventCountAfterLastSnapshot(-1));
    }"
(int count),"class removeBuffer {
public ByteBuffer removeBuffer(int count) throws NotEnoughDataInByteBufferException {
		return removeBytes(count);
	}
}","@Test
	public void testRemoveBufferWithExcessiveSizeThrowsException() throws Exception {
		thrown.expect(NotEnoughDataInByteBufferException.class);
		thrown.expect(notEnoughData(10, 1));

		buffer = bufferOf(NULL);
		buffer.removeBuffer(10);
	}"
(int count),"class list {
public Publisher<Item> list(int count) {
		Publisher<Item> source = dbClient.getStreamOfItems();
		TakeFilterOperator<Item> takeFilter =
				new TakeFilterOperator<>(source, count, this::isValid);

		return takeFilter;
	}
}","@Test
	public void pullTest() throws InterruptedException {
		CountDownLatch l = new CountDownLatch(1);
		Puller puller = new Puller();

		puller.list(10)
		      .subscribe(new Subscriber<Item>() {
			      final ArrayList<Item> list = new ArrayList<>();

			      @Override
			      public void onSubscribe(Subscription s) {
				      s.request(Long.MAX_VALUE);
			      }

			      @Override
			      public void onNext(Item item) {
				      list.add(item);
			      }

			      @Override
			      public void onError(Throwable t) {

			      }

			      @Override
			      public void onComplete() {
				      MatcherAssert.assertThat(list, Matchers.allOf(
						      Matchers.hasSize(10),
						      Matchers.contains(
								      Matchers.hasProperty(""id"", Matchers.equalTo(""2"")),
								      Matchers.hasProperty(""id"", Matchers.equalTo(""4"")),
								      Matchers.hasProperty(""id"", Matchers.equalTo(""6"")),
								      Matchers.hasProperty(""id"", Matchers.equalTo(""8"")),
								      Matchers.hasProperty(""id"", Matchers.equalTo(""10"")),
								      Matchers.hasProperty(""id"", Matchers.equalTo(""12"")),
								      Matchers.hasProperty(""id"", Matchers.equalTo(""14"")),
								      Matchers.hasProperty(""id"", Matchers.equalTo(""16"")),
								      Matchers.hasProperty(""id"", Matchers.equalTo(""18"")),
								      Matchers.hasProperty(""id"", Matchers.equalTo(""20""))
						      )
				      ));
				      l.countDown();
			      }
		      });

		if(!l.await(2, TimeUnit.SECONDS)) {
			throw new RuntimeException();
		}
	}"
(int count),"class render {
public String render(int count)
    {
        String displayCount = String.valueOf(count);
        FormatBlock formatBlock = new FormatBlock();
        WordBlock wordBlock = new WordBlock(displayCount);
        formatBlock.addChild(wordBlock);
        formatBlock.setParameter(CLASS_PARAMETER, ""notifications-count badge"");
        WikiPrinter printer = new DefaultWikiPrinter();
        this.htmlRenderer.render(formatBlock, printer);
        return printer.toString();
    }
}","@Test
    public void renderSingleEvent() throws Exception
    {
        CompositeEvent compositeEvent = mock(CompositeEvent.class);
        CompositeEventStatus eventStatus = mock(CompositeEventStatus.class);
        when(compositeEvent.getType()).thenReturn(""FooType"");
        when(compositeEvent.getEventIds()).thenReturn(Arrays.asList(""foo"", ""bar"", ""baz""));
        when(compositeEvent.getDates()).thenReturn(Arrays.asList(
            new Date(0),
            new Date(10),
            new Date(12),
            new Date(42)
        ));

        GroupBlock block = new GroupBlock();
        block.setParameter(""class"", ""my-composite-event"");
        when(eventRenderer.render(compositeEvent)).thenReturn(block);
        when(eventStatus.getStatus()).thenReturn(false);

        String expectedResult = ""<div data-eventtype=\""FooType\"" data-ids=\""foo,bar,baz\"" data-eventdate=\""42\"" ""
            + ""class=\""notification-event notification-event-unread\"">""
            + ""<div class=\""my-composite-event\""></div></div>"";
        assertEquals(expectedResult, this.notificationRenderer.render(compositeEvent, eventStatus));

        when(eventStatus.getStatus()).thenReturn(true);
        expectedResult = ""<div data-eventtype=\""FooType\"" data-ids=\""foo,bar,baz\"" data-eventdate=\""42\"" ""
            + ""class=\""notification-event\"">""
            + ""<div class=\""my-composite-event\""></div></div>"";
        assertEquals(expectedResult, this.notificationRenderer.render(compositeEvent, eventStatus));

        expectedResult = ""<div data-eventtype=\""FooType\"" data-ids=\""foo,bar,baz\"" data-eventdate=\""42\"" ""
            + ""class=\""notification-event\"">""
            + ""<div class=\""my-composite-event\""></div></div>"";
        assertEquals(expectedResult, this.notificationRenderer.render(compositeEvent, null));
    }"
(int count),"class one {
public static Ack one(int count) {
        return validate(count == 1);
    }
}","@Test
    public void one_0() {
        assertFalse(Ack.one(0).isSuccess());
    }"
(int count),"class one {
public static Ack one(int count) {
        return validate(count == 1);
    }
}","@Test
    public void one_more() {
        assertFalse(Ack.one(2).isSuccess());
    }"
(int count),"class setCount {
public void setCount(int count) {
        if (count < 0) {
            throw new IllegalArgumentException(""Count must not be less than zero"");
        }

        this.count = count;
    }
}","@Test(expected = IllegalArgumentException.class)
    public void setting_count_less_than_0_throws_exception() {
        this.multipleCount.setCount(-1);
    }"
